CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,NO_CURSO_EDUC_PROFISSIONAL
32025920,CEEFMTI AFONSO CLAUDIO,Afonso Cláudio,Informática para Internet
32005067,CEIER DE AGUIA BRANCA,Águia Branca,Agropecuária
32000057,EEEFM SEBASTIAO COIMBRA ELIZEU,Água Doce do Norte,Manutenção e Suporte em Informática
32045360,EEEFM PROFESSOR PEDRO SIMAO,Alegre,Análises clínicas
32045360,EEEFM PROFESSOR PEDRO SIMAO,Alegre,Administração
32045360,EEEFM PROFESSOR PEDRO SIMAO,Alegre,Design Gráfico
32045379,CEEFMTI ARISTEU AGUIAR,Alegre,Sistemas de Energia Renovável
32046022,EEEFM JOSE CORRENTE,Alegre,Agronegócio
32046103,EEEFM SIRENA REZENDE FONSECA,Alegre,Informática para Internet
32046219,IFES - CAMPUS DE ALEGRE,Alegre,Informática
32046219,IFES - CAMPUS DE ALEGRE,Alegre,Agroindústria
32046219,IFES - CAMPUS DE ALEGRE,Alegre,Agropecuária
32041756,EEEFM CAMILA MOTTA,Alfredo Chaves,Meio Ambiente
32041756,EEEFM CAMILA MOTTA,Alfredo Chaves,Administração
32041756,EEEFM CAMILA MOTTA,Alfredo Chaves,Guia de Turismo
32041772,ESCOLA FAMILIA AGRICOLA DE ALFREDO CHAVES - MEPES,Alfredo Chaves,Agropecuária
32042647,EEEFM CORONEL GOMES DE OLIVEIRA,Anchieta,Administração
32043171,ESCOLA FAMILIA AGRICOLA DE OLIVANIA - MEPES,Anchieta,Agropecuária
32079710,ESCOLA FAMILIA TURISMO PIETROGRANDE - MEPES,Anchieta,Serviços de Restaurante e Bar
32079893,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL LUCAS IZOTON VIEIRA,Anchieta,Eletrotécnica
32082231,CEEMTI PAULO FREIRE,Anchieta,Eletromecânica
32082231,CEEMTI PAULO FREIRE,Anchieta,Eletrotécnica
32082231,CEEMTI PAULO FREIRE,Anchieta,Mecânica
32082231,CEEMTI PAULO FREIRE,Anchieta,Sistemas de Energia Renovável
32082231,CEEMTI PAULO FREIRE,Anchieta,Administração
32082231,CEEMTI PAULO FREIRE,Anchieta,Química
32082231,CEEMTI PAULO FREIRE,Anchieta,Segurança do Trabalho
32050984,EEEFM CANDIDA POVOA,Apiacá,Comércio
32073330,EEEFM MISAEL PINTO NETTO,Aracruz,Administração
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Enfermagem
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Radiologia
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Automação Industrial
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Eletrotécnica
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Mecânica
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Mecatrônica
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Administração
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Logística
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Recursos Humanos
32077076,CENTRO DE FORMACAO PROFISSIONAL E TECNOLOGICA CICLOS LTDA,Aracruz,Segurança do Trabalho
32080565,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL SERGIO ROGERIO DE CASTRO,Aracruz,Eletromecânica
32080565,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL SERGIO ROGERIO DE CASTRO,Aracruz,Eletrotécnica
32080565,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL SERGIO ROGERIO DE CASTRO,Aracruz,Mecânica
32080565,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL SERGIO ROGERIO DE CASTRO,Aracruz,Logística
32080565,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL SERGIO ROGERIO DE CASTRO,Aracruz,Segurança do Trabalho
32102003,IFES - CAMPUS ARACRUZ,Aracruz,Mecânica
32102003,IFES - CAMPUS ARACRUZ,Aracruz,Química
32051328,EEEFM FERNANDO DE ABREU,Atílio Vivácqua,Administração
32051328,EEEFM FERNANDO DE ABREU,Atílio Vivácqua,Manutenção e Suporte em Informática
32009461,EEEFM JOSE DAMASCENO FILHO,Baixo Guandu,Administração
32080867,CEEMTI BAIXO GUANDU,Baixo Guandu,Análises clínicas
32080867,CEEMTI BAIXO GUANDU,Baixo Guandu,Informática para Internet
32080867,CEEMTI BAIXO GUANDU,Baixo Guandu,Manutenção e Suporte em Informática
32000987,CEEFMTI JOAO XXIII,Barra de São Francisco,Manutenção e Suporte em Informática
32078226,ESCOLA FAMILIA AGRICOLA JACYRA DE PAULA MINIGUITE - MEPES,Barra de São Francisco,Agropecuária
32081332,IFES - CAMPUS BARRA DE SAO FRANCISCO,Barra de São Francisco,Outros - Eixo Gestão e Negócios
32081332,IFES - CAMPUS BARRA DE SAO FRANCISCO,Barra de São Francisco,Outros - Eixo Recursos Naturais
32005504,ESCOLA FAMILIA AGRICOLA DE ENSINO MEDIO E EDUCACAO PROFISSIONAL DE BOA ESPERANCA - MEPES,Boa Esperança,Agropecuária
32005601,CEIER DE BOA ESPERANCA,Boa Esperança,Agropecuária
32005652,EEEFM ANTONIO DOS SANTOS NEVES,Boa Esperança,Informática para Internet
32005954,EEEFM SOBRADINHO,Boa Esperança,Vendas
32026552,EEEFM ALVARO CASTELO,Brejetuba,Administração
32026846,EEEFM SAO JORGE,Brejetuba,Agropecuária
32052103,EEEM CEI ATTILA DE ALMEIDA MIRANDA,Cachoeiro de Itapemirim,Recursos Humanos
32052103,EEEM CEI ATTILA DE ALMEIDA MIRANDA,Cachoeiro de Itapemirim,Manutenção e Suporte em Informática
32052103,EEEM CEI ATTILA DE ALMEIDA MIRANDA,Cachoeiro de Itapemirim,Segurança do Trabalho
32052189,EEEFM AGOSTINHO SIMONATO,Cachoeiro de Itapemirim,Administração
32052189,EEEFM AGOSTINHO SIMONATO,Cachoeiro de Itapemirim,Recursos Humanos
32052308,CEEFMTI FRANCISCO COELHO AVILA JUNIOR,Cachoeiro de Itapemirim,Administração
32052529,EEEFM PRESIDENTE GETULIO VARGAS,Cachoeiro de Itapemirim,Análises clínicas
32052529,EEEFM PRESIDENTE GETULIO VARGAS,Cachoeiro de Itapemirim,Redes de Computadores
32052529,EEEFM PRESIDENTE GETULIO VARGAS,Cachoeiro de Itapemirim,Análises Químicas
32052545,EEEFM PROF CLAUDIONOR RIBEIRO,Cachoeiro de Itapemirim,Informática para Internet
32052545,EEEFM PROF CLAUDIONOR RIBEIRO,Cachoeiro de Itapemirim,Manutenção e Suporte em Informática
32052723,CE SAO CAMILO - ICE,Cachoeiro de Itapemirim,Enfermagem
32052731,CEEFMTI LICEU MUNIZ FREIRE,Cachoeiro de Itapemirim,Administração
32052731,CEEFMTI LICEU MUNIZ FREIRE,Cachoeiro de Itapemirim,Informática para Internet
32052731,CEEFMTI LICEU MUNIZ FREIRE,Cachoeiro de Itapemirim,Segurança do Trabalho
32052847,EEEFM PROF PETRONILHA VIDIGAL,Cachoeiro de Itapemirim,Química
32052847,EEEFM PROF PETRONILHA VIDIGAL,Cachoeiro de Itapemirim,Segurança do Trabalho
32053860,EEEFM ZACHEU MOREIRA DA FRAGA,Cachoeiro de Itapemirim,Secretariado
32053860,EEEFM ZACHEU MOREIRA DA FRAGA,Cachoeiro de Itapemirim,Vendas
32079583,IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,Eletromecânica
32079583,IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,Mecânica
32079583,IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,Informática
32079583,IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,Informática para Internet
32079583,IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,Mineração
32079702,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL AUREO VIANNA MAMERI,Cachoeiro de Itapemirim,Eletrotécnica
32079702,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL AUREO VIANNA MAMERI,Cachoeiro de Itapemirim,Manutenção Automotiva
32079702,SENAI ES - CENTRO DE EDUCACAO PROFISSIONAL AUREO VIANNA MAMERI,Cachoeiro de Itapemirim,Desenvolvimento de Sistemas
32081499,IPES - ESCOLA DE SAUDE,Cachoeiro de Itapemirim,Enfermagem
32084188,SEST SENAT POLO CACHOEIRO DE ITAPEMIRIM,Cachoeiro de Itapemirim,Logística
32101627,ESCOLA NOVO APOGEU EDUCACIONAL - NAPE,Cachoeiro de Itapemirim,Análises clínicas
32101627,ESCOLA NOVO APOGEU EDUCACIONAL - NAPE,Cachoeiro de Itapemirim,Enfermagem
32101627,ESCOLA NOVO APOGEU EDUCACIONAL - NAPE,Cachoeiro de Itapemirim,Radiologia
32134002,ESCOLA FAMILIA AGRICOLA DE CACHOEIRO DE ITAPEMIRIM - MEPES,Cachoeiro de Itapemirim,Agropecuária
32033796,EEEFM MARIA DE LOURDES POYARES LABUTO,Cariacica,Manutenção e Suporte em Informática
32033796,EEEFM MARIA DE LOURDES POYARES LABUTO,Cariacica,Redes de Computadores
32033826,EEEFM JOSE RODRIGUES COUTINHO,Cariacica,Logística
32033940,EEEFM SATURNINO RANGEL MAURO,Cariacica,Logística
32033940,EEEFM SATURNINO RANGEL MAURO,Cariacica,Informática para Internet
32033940,EEEFM SATURNINO RANGEL MAURO,Cariacica,Redes de Computadores
32034016,EEEFM ANA LOPES BALESTRERO,Cariacica,Comércio
32034040,EEEFM SAO JOAO BATISTA - CARIACICA,Cariacica,Informática para Internet
32034040,EEEFM SAO JOAO BATISTA - CARIACICA,Cariacica,Redes de Computadores
32034644,EEEFM JOSE VITOR FILHO,Cariacica,Administração
32034644,EEEFM JOSE VITOR FILHO,Cariacica,Logística
32034652,EEEFM JESUS CRISTO REI,Cariacica,Comércio
32034652,EEEFM JESUS CRISTO REI,Cariacica,Logística
