CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,TP_DEPENDENCIA,TP_LOCALIZACAO,QT_DOC_INF,QT_MAT_INF,QT_TUR_INF
32025700,EMEF ARREPENDIDO,Afonso Cláudio,3,2,0.0,0.0,0.0
32025785,EMEIEFTI FORTALEZA,Afonso Cláudio,3,2,5.0,11.0,1.0
32025815,CMEI SEBASTIAO PEREIRA DE PAULA,Afonso Cláudio,3,1,10.0,160.0,10.0
32025858,EMEF AUGUSTA LAMAS DAVILA,Afonso Cláudio,3,1,0.0,0.0,0.0
32025866,EMEF IDOLINO DA FONSECA LAMAS,Afonso Cláudio,3,1,0.0,0.0,0.0
32025882,EM SAO VICENTE DE PAULA,Afonso Cláudio,3,1,0.0,0.0,0.0
32025904,EMEF HILDA CORREA LEMOS,Afonso Cláudio,3,1,0.0,0.0,0.0
32025920,CEEFMTI AFONSO CLAUDIO,Afonso Cláudio,2,1,0.0,0.0,0.0
32026056,EMEIEF FAZENDA JULIO LITTIG,Afonso Cláudio,3,2,3.0,11.0,1.0
32026307,CMEI O SABIDINHO FRANCISCO COSTA,Afonso Cláudio,3,1,10.0,163.0,10.0
32026838,EMEIEF PATRIMONIO DOS GONCALVES,Afonso Cláudio,3,2,2.0,11.0,1.0
32062214,CAEE MIGUEL GOMES - APAE,Afonso Cláudio,4,1,0.0,0.0,0.0
32062532,EMEF JOSE JORGE HADDAD,Afonso Cláudio,3,1,0.0,0.0,0.0
32062575,EMEIEF ABRAHAO SALEME,Afonso Cláudio,3,1,2.0,15.0,1.0
32069111,EMEIEF AGRICOLA,Afonso Cláudio,3,2,2.0,13.0,1.0
32069308,CMEI JAIR GIESTAS,Afonso Cláudio,3,1,10.0,147.0,9.0
32076843,CMEI AMAURY GOMES,Afonso Cláudio,3,1,8.0,107.0,8.0
32077327,CMEI ROSINELMA BATISTA MOREIRA,Afonso Cláudio,3,1,15.0,249.0,16.0
32081189,ASSOCIACAO PRO CASA DO MENINO,Afonso Cláudio,4,1,0.0,0.0,0.0
32082037,EEEFM JOSE CUPERTINO,Afonso Cláudio,2,1,0.0,0.0,0.0
32027443,EM ALTO GUANDU,Afonso Cláudio,3,2,0.0,0.0,0.0
32027451,EMEF ALTO TABATINGA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027567,EEEFM MARIA DE ABREU ALVIM,Afonso Cláudio,2,1,0.0,0.0,0.0
32077580,CMEI DIOCLEZIO TOSTA DAS NEVES,Afonso Cláudio,3,1,11.0,118.0,18.0
32026927,EMEIEF DUAS PEDRAS,Afonso Cláudio,3,2,2.0,13.0,1.0
32027729,EMEIEF FRANZ CARLOS JOAO LEMKE,Afonso Cláudio,3,2,6.0,49.0,3.0
32027788,EMEIEF ARCANJO TONOLI SOBRINHO,Afonso Cláudio,3,2,3.0,10.0,1.0
32080727,EEEM MATA FRIA,Afonso Cláudio,2,2,0.0,0.0,0.0
32027095,EMEIEFTI FAZENDA HENRIQUE ZAMBOM,Afonso Cláudio,3,2,4.0,26.0,2.0
32027150,EM SANTA TEREZINHA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027206,EEEFM JOSE ROBERTO CHRISTO,Afonso Cláudio,2,1,0.0,0.0,0.0
32027249,EM ALTO RIO DA COBRA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027389,CMEI JOVELINO AMBROZIM,Afonso Cláudio,3,1,12.0,94.0,11.0
32027540,EEEFM JOSE GIESTAS,Afonso Cláudio,2,1,0.0,0.0,0.0
32079427,CMEI ILMA HENRIQUES VIEIRA,Afonso Cláudio,3,1,12.0,87.0,15.0
32025793,EMEIEF GUMERCINDO LACERDA,Afonso Cláudio,3,1,1.0,22.0,1.0
32025840,EM VARGEM GRANDE DA SEDE,Afonso Cláudio,3,2,0.0,0.0,0.0
32027460,EMEF FAZENDA SANTO ANTONIO,Afonso Cláudio,3,2,0.0,0.0,0.0
32027508,EMEIEF CUSTODIO LOPES DA ROCHA,Afonso Cláudio,3,2,3.0,14.0,1.0
32027613,EMEF SAO LUIZ DE BOA SORTE,Afonso Cláudio,3,2,0.0,0.0,0.0
32062044,EM VARGEDO,Afonso Cláudio,3,2,0.0,0.0,0.0
32027753,EEEFM ELVIRA BARROS,Afonso Cláudio,2,1,0.0,0.0,0.0
32027770,EM AGUAS FORMOSAS,Afonso Cláudio,3,2,0.0,0.0,0.0
32027796,EMEF ALTO SANTA JOANA,Afonso Cláudio,3,2,0.0,0.0,0.0
32027818,EMEF FAZENDA CARLOS HACKBART,Afonso Cláudio,3,2,0.0,0.0,0.0
32027893,CMEI NESTOR PINTO DE AGUIAR,Afonso Cláudio,3,1,14.0,118.0,14.0
32004966,EMEIEF BARRA DA JABUTICABA,Águia Branca,3,2,5.0,40.0,2.0
32005032,EP MUL FAZENDA CORTELETTI,Águia Branca,3,2,0.0,0.0,0.0
32005067,CEIER DE AGUIA BRANCA,Águia Branca,2,2,0.0,0.0,0.0
32005091,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PEDRA TORTA,Águia Branca,3,2,5.0,25.0,2.0
32005105,EEEFM PROFESSORA ANA MARIA CARLETTI QUIUQUI,Águia Branca,2,1,0.0,0.0,0.0
32005202,ESCOLA UNIDOCENTE CORREGO DAS FLORES,Águia Branca,3,2,0.0,0.0,0.0
32005210,EU CORREGO DAS PEDRAS,Águia Branca,3,2,0.0,0.0,0.0
32005229,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL CORREGO DO CAFE,Águia Branca,3,2,5.0,38.0,2.0
32005377,EU MUL LADISLAU MATUCHOCO,Águia Branca,3,2,0.0,0.0,0.0
32005393,EU SANTA CRUZ,Águia Branca,3,2,0.0,0.0,0.0
32005431,PE MUL PEDACINHO DO CEU,Águia Branca,3,1,0.0,0.0,0.0
32064098,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PADRE SERGIO BANZZA,Águia Branca,3,1,0.0,0.0,0.0
32064900,ESCOLA MUNICIPAL COMUNITARIA AGROECOLOGICA JOAO QUIUQUI,Águia Branca,3,2,4.0,20.0,1.0
32066260,CAEE BEM VIVER-PESTALOZZI,Águia Branca,4,1,0.0,0.0,0.0
32071590,CRECHE MUL URSINHOS CARINHOSOS,Águia Branca,3,1,0.0,0.0,0.0
32082282,EMEIEF CATARINA ROSSINI BRUNI,Águia Branca,3,2,5.0,25.0,2.0
32101813,CMEI PROFESSORA HELENISA MOTA DO PRADO,Águia Branca,3,1,32.0,281.0,21.0
32005040,EP MUL FAZENDA PARAISO,Águia Branca,3,2,0.0,0.0,0.0
